Depth (ft),Weight on bit (k-lbs),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),ROP (ft/hr)
516.47,6.83,52.57,4.78,90.62,853.94,91.07
517.5,8.37,51.03,4.78,94.19,850.26,113.12
518.52,12.1,47.3,4.78,94.99,823.03,71.75
519.58,13.68,45.72,4.78,85.34,850.67,71.74
520.6,10.48,48.92,4.78,95.11,847.18,130.76
521.61,11.75,47.65,4.82,76.19,848,76.32
522.63,16.58,42.82,4.78,87.88,850.86,108.63
523.69,15,44.4,4.78,87.57,847.18,146.22
524.72,5.25,54.15,4.85,97.7,845.75,25.03
525.74,8.54,50.86,4.82,92.54,845.75,111.03
526.78,10.08,49.32,4.85,92.06,849.43,77.81
527.8,7.97,51.43,4.85,91.29,845.95,81.46
528.84,7.67,51.73,4.85,94.34,845.74,120.4
529.85,10.52,48.88,4.85,91.14,845.54,61.1
530.87,9.55,49.85,4.89,89.01,845.95,58.19
531.89,6.57,52.83,4.85,95.47,848.4,70.46
532.93,0.7,59.07,4.7,74.36,890.57,120.41
533.96,3.25,56.52,4.66,64.75,894.68,116.65
535,4.7,55.07,4.7,67.98,898.37,120.35
536.02,8.43,51.34,4.66,59.32,901.23,118.18
537.06,7.29,52.48,4.7,79.76,903.89,120.4
538.09,9.27,50.5,4.66,72.99,904.3,120.4
539.11,5.93,53.84,4.66,76.07,901.85,122.64
540.13,9.27,50.5,4.7,74.79,901.43,118.18
541.14,10.94,48.84,4.66,67.92,901.63,121.98
542.18,6.72,53.05,4.66,50.56,903.89,59.25
543.22,6.98,52.79,4.66,86.96,905.33,120.4
544.24,7.73,52.04,4.7,85.92,906.97,122.13
545.25,7.6,52.17,4.7,88.06,907.59,118.18
546.29,7.42,52.35,4.7,78.2,902.67,120.4
547.31,5.09,54.68,4.7,73.78,906.97,122.12
548.35,10.89,48.88,4.7,55.17,909.43,103.69
549.36,6.41,53.36,4.7,90.5,914.55,99.03
550.38,6.63,53.14,4.7,82.23,917.21,122.11
551.42,11.77,48,4.7,79.3,917.21,120.41
552.44,8.87,50.9,4.7,80.86,920.69,93.95
553.45,5.4,54.37,4.7,90.1,917.83,77.97
554.49,7.42,52.35,4.7,83.76,912.71,120.4
555.53,5.05,54.72,4.7,88.76,914.15,120.41
556.54,3.86,55.91,4.7,88.06,923.77,122.11
557.56,7.55,52.22,4.7,87.51,922.74,120.41
558.6,4.08,55.69,4.74,90.81,761.19,120.42
559.62,3.78,55.99,4.7,94.5,913.74,122.14
560.65,6.76,53.01,4.74,82.54,927.04,120.42
561.67,10.94,48.84,4.74,81.8,870.53,118.18
562.69,11.86,47.91,4.74,83.06,834.9,120.41
563.71,12.96,46.82,4.55,24.57,801.95,109.79
564.72,11.07,48.7,4.55,75.18,806.25,101.79
565.74,5.45,54.33,4.55,85.89,840.84,118.18
566.76,8.43,51.34,4.55,80.34,832.24,116.59
567.78,10.76,49.01,4.55,77.56,823.21,114.49
568.81,12.82,46.95,4.55,69.66,821.16,113.12
569.87,2.15,57.62,4.55,87.85,826.07,97.5
570.89,5.49,54.28,4.55,85.34,813.4,118.2
571.93,6.32,53.45,4.51,81.68,863.19,116.65
572.94,5.8,53.97,4.51,87.02,861.14,122.12
573.96,10.85,48.92,4.55,78.36,863.81,118.18
575,10.1,49.67,4.55,74.76,861.76,109.79
576.02,7.82,51.95,4.51,67.53,871.34,122.64
577.05,6.85,52.92,4.55,80.4,863.76,113.11
578.09,6.59,53.18,4.55,79.55,870.1,124.42
579.11,4.48,55.29,4.55,71.28,869.49,122.12
580.14,2.37,57.4,4.55,88.55,870.3,120.4
581.18,6.59,53.18,4.55,78.27,865.8,120.4
582.2,7.03,52.74,4.55,78.78,868.47,118.18
583.23,9.4,50.37,4.55,72.8,869.08,120.4
584.25,9.71,50.07,4.55,72.29,869.49,118.18
585.27,9.31,50.46,4.55,72.53,869.7,114.49
586.29,10.23,49.54,4.55,75.28,866.63,116.65
587.31,11.46,48.31,4.59,74.97,802.13,118.18
588.32,4.83,54.94,4.59,70.12,870.1,71.86
589.38,8.39,51.38,4.59,87.85,868.87,99.28
590.42,7.82,51.95,4.59,82.42,872.55,128.71
591.45,11.59,48.18,4.59,84.15,868.26,138.27
592.47,6.46,53.32,4.59,85.68,868.87,107.77
593.51,9.27,50.5,4.59,82.48,867.23,120.41
594.56,3.52,56.78,86.86,70,865.37,143.58
595.58,2.02,58.28,74.93,96.27,884.45,122.15
596.6,8.7,51.6,87.78,63.19,886.09,118.19
597.62,7.03,53.27,81.87,90.32,883.84,120.41
599.67,4.83,55.47,78.28,85.13,887.94,116.65
600.71,0.4,59.9,71.69,96.14,889.78,119.51
601.73,10.1,50.2,83.7,77.17,889.58,118.18
602.74,4.88,55.42,71.65,92.85,885.68,118.18
603.76,1.19,59.11,76.64,97.52,883.43,122.11
604.78,11.6,48.7,90.48,64.81,884.66,65.44
605.8,9.93,50.37,82.67,71.49,882.82,116.64
607.87,5.01,55.29,78.7,84.98,881.58,107.75
608.91,4,56.3,74.01,93.83,868.67,120.4
609.95,2.68,57.62,66.39,99.13,869.27,120.4
610.96,4.26,56.04,71.5,85.53,869.48,122.12
611.98,8.17,52.13,78.78,73.66,869.89,113.12
613.02,8.83,51.47,76.15,77.93,870.09,120.4
614.05,7.07,53.23,75.31,81.01,866.41,77.79
615.07,6.72,53.58,78.36,76.4,865.38,101.78
616.11,5.93,54.37,74.39,87.75,864.97,113.12
617.15,10.02,50.28,77.83,80.1,866.41,103.69
618.16,8.57,51.73,77.22,86.96,864.16,76.36
619.2,7.73,52.57,82.4,75.73,860.88,91.06
620.24,4.79,55.51,57.73,104.57,859.04,34.9
624.02,8.91,51.69,80.8,87.63,852.92,21.31
625.04,9.52,51.08,76.41,89.58,870.75,98.25
626.05,8.12,52.48,79.58,84.55,867.27,99.04
627.09,4.56,56.04,70.28,97.82,870.14,116.65
628.11,8.38,52.22,78.82,88.73,868.3,114.48
629.13,7.02,53.58,70.92,96.97,870.14,121.74
630.14,10.36,50.24,79.12,69.27,868.29,101.79
631.16,6.1,54.5,75.8,78.94,872.59,76.34
632.2,8.69,51.91,80.87,75.89,872.18,93.35
633.22,7.55,53.05,80.15,77.17,874.64,91.61
634.25,10.18,50.42,77.33,77.78,873.62,98.26
635.29,8.91,51.69,77.41,79.97,873.42,63.31
636.31,7.55,53.05,80.11,76.16,875.67,101.79
637.35,4.43,56.17,76.38,80.34,874.44,113.12
638.36,8.29,52.31,76.95,78.94,874.44,118.18
640.4,2.72,57.88,75.65,59.72,875.67,118.18
641.42,7.33,53.27,76.68,68.59,875.06,120.41
642.43,9.88,50.72,76.61,76.34,875.88,114.48
643.45,8.56,52.04,76.99,77.14,872.81,82.97
644.49,5.88,54.72,70.85,85.71,875.67,120.4
645.53,4.08,56.52,68.75,85.89,874.86,120.4
646.56,7.5,53.1,114.65,34.73,879.16,120.4
647.6,4.96,55.64,69.44,109.66,880.59,120.4
648.64,5.22,55.38,69.55,85.37,881.21,120.4
649.65,5.13,55.47,69.86,86.26,881.21,122.12
650.67,6.76,53.84,71.38,81.93,883.05,122.11
651.71,8.91,51.69,74.55,79.97,879.57,120.4
652.73,7.5,53.1,72.87,80.07,880.8,118.18
653.74,7.99,52.61,74.24,79.39,882.23,101.78
654.76,7.24,53.36,77.9,76.19,882.64,101.79
655.8,8.56,52.04,75.16,80.37,880.8,106.66
656.82,7.19,54.11,66.04,75.64,864.36,67.88
657.83,8.29,53.01,74.66,95.72,860.06,117.47
658.85,10.14,51.16,76.03,93.43,906.6,114.48
659.87,8.69,52.61,76.19,91.78,902.32,110.91
660.89,3.42,57.88,64.75,90.44,903.14,122.11
661.92,9.39,51.91,73.78,78.36,876.49,120.41
662.96,5.48,55.82,70.66,79.24,885.68,120.4
663.98,9.7,51.6,76.03,64.87,818.09,107.76
665,9.3,52,79.24,72.38,890.57,104.68
666.01,5.88,55.42,68.26,92,912.33,120.41
667.03,8.2,53.1,73.67,86.78,911.51,118.18
668.07,5.66,55.64,76.41,82.96,915.81,98.25
669.09,8.07,53.23,77.98,83.48,906.59,114.49
670.12,8.6,52.7,73.97,91.78,815.61,116.65
671.16,5.79,55.51,64.4,97.27,902.01,120.41
672.18,8.64,52.66,76.19,77.66,902.21,122.12
673.2,9.65,51.65,74.81,75,905.28,114.48
674.21,7.63,53.67,76.83,76.34,881.94,109.8
675.25,4.87,56.43,68.22,84,921.72,124.42
676.29,5.35,55.95,71.53,79.18,921.73,120.41
677.32,6.1,55.2,76.15,76.25,922.96,120.4
678.36,4.08,57.22,70.31,81.1,924.8,124.42
679.4,6.97,54.33,73.21,78.11,925,120.42
680.43,6.49,54.81,73.94,77.32,927.87,120.4
681.47,6.23,55.07,70.16,78.42,927.25,124.41
682.49,7.63,53.67,76.87,72.59,884.25,118.17
683.51,7.98,53.32,79.69,88.18,924.39,114.49
684.54,6.36,54.94,73.67,100.9,842.89,116.64
